id,name,state,country,lat,lng,tags,moods,groups,best_seasons,ideal_days,base_cost,weather_profile,popularity,rating,description,best_starting_cities,nightlife_score,food_score,adventure_score,nature_score,luxury_score,workcation_score
manali,Manali,Himachal Pradesh,India,33.4798,72.1464,mountains | snow | adventure | cafes,adventurous | relaxing,friends | couple | solo,winter | spring,3 | 4,26513,Cold mountain weather,55,4.7,"Manali is known for mountains, snow, adventure and offers a strong travel experience.",Delhi|Chandigarh,5,6,10,8,6,5
shimla,Shimla,Himachal Pradesh,India,16.7879,81.945,mountains | heritage | photography,relaxing | romantic,friends | couple | solo,autumn | winter,4 | 5,10039,Cool and scenic,51,4.3,"Shimla is known for mountains, heritage, photography and offers a strong travel experience.",Delhi|Chandigarh,4,6,5,8,7,6
spiti,Spiti,Himachal Pradesh,India,9.9864,76.103,mountains | cold desert | roadtrip,adventurous | peaceful,friends | couple | solo,autumn | winter,2 | 3,11461,Cold desert climate,90,4.1,"Spiti is known for mountains, cold desert, roadtrip and offers a strong travel experience.",Delhi|Chandigarh,2,3,10,9,4,3
dharamshala,Dharamshala,Himachal Pradesh,India,12.8526,79.6668,spiritual | mountains | cafes,spiritual | relaxing,friends | couple | solo,summer | monsoon,3 | 4,14332,Cool and scenic,97,4.6,"Dharamshala is known for spiritual, mountains, cafes and offers a strong travel experience.",Delhi|Chandigarh,3,7,5,8,5,8
auli,Auli,Uttarakhand,India,34.7864,71.9867,snow | skiing | mountains,adventurous | luxury,friends | couple | solo,winter | spring,2 | 3,23497,Snowy mountain climate,62,4.3,"Auli is known for snow, skiing, mountains and offers a strong travel experience.",Delhi|Chandigarh,2,5,10,8,8,4
mussoorie,Mussoorie,Uttarakhand,India,17.1309,79.7225,waterfalls | mountains | weekend,relaxing | romantic,friends | couple | solo,autumn | winter,2 | 3,24874,Cool and scenic,98,4.8,"Mussoorie is known for waterfalls, mountains, weekend and offers a strong travel experience.",Delhi|Chandigarh,4,7,6,8,7,7
nainital,Nainital,Uttarakhand,India,29.4489,83.5682,lake | family | photography,relaxing | family,friends | couple | solo,autumn | winter,3 | 4,8888,Pleasant climate,69,4.4,"Nainital is known for lake, family, photography and offers a strong travel experience.",Delhi|Lucknow,3,6,5,8,6,6
tirthan_valley,Tirthan Valley,Himachal Pradesh,India,25.9475,84.8805,peaceful | river | hidden gem,peaceful | nature,friends | couple | solo,summer | monsoon,3 | 4,10702,Fresh riverside climate,88,4.3,"Tirthan Valley is known for peaceful, river, hidden gem and offers a strong travel experience.",Delhi|Chandigarh,2,5,6,10,4,7
jibhi,Jibhi,Himachal Pradesh,India,31.3435,77.2541,waterfalls | forest | cabins,peaceful | relaxing,friends | couple | solo,summer | monsoon,4 | 5,17669,Cool and scenic,55,4.8,"Jibhi is known for waterfalls, forest, cabins and offers a strong travel experience.",Delhi|Chandigarh,2,6,6,10,5,8
leh,Leh,Ladakh,India,19.75,89.1065,bike trip | mountains | lakes,adventurous | photography,friends | couple | solo,autumn | winter,4 | 5,12501,High altitude mountain climate,56,4.5,"Leh is known for bike trip, mountains, lakes and offers a strong travel experience.",Delhi|Chandigarh,3,5,10,9,6,4
pondicherry,Pondicherry,Tamil Nadu,India,31.9565,71.4946,beaches | cafes | french,romantic | relaxing,friends | couple | solo,autumn | winter,4 | 5,29810,Pleasant beach climate,73,4.4,"Pondicherry is known for beaches, cafes, french and offers a strong travel experience.",Chennai|Bangalore,5,8,4,7,7,9
alleppey,Alleppey,Kerala,India,12.2926,76.0075,backwaters | boats | nature,peaceful | luxury,friends | couple | solo,winter | spring,4 | 5,26567,Tropical backwater climate,90,4.1,"Alleppey is known for backwaters, boats, nature and offers a strong travel experience.",Bangalore|Chennai,3,8,4,10,8,8
munnar,Munnar,Kerala,India,15.6489,82.7886,tea gardens | nature | mountains,peaceful | romantic,friends | couple | solo,autumn | winter,2 | 3,21088,Cool tea-estate climate,61,4.4,"Munnar is known for tea gardens, nature, mountains and offers a strong travel experience.",Bangalore|Chennai,2,6,5,10,7,9
wayanad,Wayanad,Kerala,India,31.5163,89.4181,forest | waterfalls | wildlife,nature | peaceful,friends | couple | solo,autumn | winter,2 | 3,23488,Forest climate,79,4.3,"Wayanad is known for forest, waterfalls, wildlife and offers a strong travel experience.",Bangalore|Chennai,2,6,7,10,5,8
andaman,Andaman,Andaman and Nicobar,India,24.1601,82.3105,islands | beaches | scuba,luxury | romantic,friends | couple | solo,summer | monsoon,2 | 3,9154,Tropical island climate,93,4.1,"Andaman is known for islands, beaches, scuba and offers a strong travel experience.",Chennai|Kolkata,6,8,9,9,10,6
darjeeling,Darjeeling,West Bengal,India,17.0084,92.5703,tea | mountains | toy train,peaceful | photography,friends | couple | solo,autumn | winter,4 | 5,15353,Cool mountain climate,91,4.7,"Darjeeling is known for tea, mountains, toy train and offers a strong travel experience.",Kolkata|Delhi,3,7,5,9,6,7
gangtok,Gangtok,Sikkim,India,9.8987,71.6743,mountains | monasteries | snow,spiritual | adventurous,friends | couple | solo,autumn | winter,4 | 5,29484,Cold mountain weather,89,4.7,"Gangtok is known for mountains, monasteries, snow and offers a strong travel experience.",Kolkata|Delhi,3,6,8,9,6,5
shillong,Shillong,Meghalaya,India,25.4243,83.2597,waterfalls | music | clouds,peaceful | nature,friends | couple | solo,autumn | winter,4 | 5,20098,Cool and scenic,55,4.2,"Shillong is known for waterfalls, music, clouds and offers a strong travel experience.",Kolkata|Guwahati,5,7,6,10,5,8
cherrapunji,Cherrapunji,Meghalaya,India,9.1189,83.9574,rain | waterfalls | bridges,nature | adventurous,friends | couple | solo,winter | spring,2 | 3,14213,Rainy hill climate,53,4.8,"Cherrapunji is known for rain, waterfalls, bridges and offers a strong travel experience.",Kolkata|Guwahati,2,5,8,10,4,5
varanasi,Varanasi,Uttar Pradesh,India,11.1294,78.9652,spiritual | ghats | culture,spiritual | photography,friends | couple | solo,autumn | winter,3 | 4,14645,Historic spiritual climate,87,4.7,"Varanasi is known for spiritual, ghats, culture and offers a strong travel experience.",Delhi|Kolkata,3,8,2,4,5,6
agra,Agra,Uttar Pradesh,India,29.8435,91.5446,heritage | history | architecture,romantic | culture,friends | couple | solo,summer | monsoon,3 | 4,29123,Hot heritage climate,91,4.3,"Agra is known for heritage, history, architecture and offers a strong travel experience.",Delhi|Jaipur,4,7,3,3,8,5
jaisalmer,Jaisalmer,Rajasthan,India,27.5899,90.6393,desert | camping | culture,adventurous | luxury,friends | couple | solo,winter | spring,4 | 5,10521,Desert climate,87,4.7,"Jaisalmer is known for desert, camping, culture and offers a strong travel experience.",Delhi|Ahmedabad,7,7,8,5,9,4
pushkar,Pushkar,Rajasthan,India,8.6296,84.0327,spiritual | cafes | desert,spiritual | relaxing,friends | couple | solo,winter | spring,2 | 3,13039,Desert spiritual climate,61,4.1,"Pushkar is known for spiritual, cafes, desert and offers a strong travel experience.",Delhi|Jaipur,5,8,4,5,6,7
ooty,Ooty,Tamil Nadu,India,31.3315,74.3674,tea | hills | family,relaxing | peaceful,friends | couple | solo,winter | spring,3 | 4,23895,Cool hill climate,67,4.6,"Ooty is known for tea, hills, family and offers a strong travel experience.",Chennai|Bangalore,3,7,4,9,6,8
kodaikanal,Kodaikanal,Tamil Nadu,India,13.2883,93.2077,lake | forest | romantic,romantic | nature,friends | couple | solo,autumn | winter,3 | 4,14997,Cool romantic hill climate,87,4.9,"Kodaikanal is known for lake, forest, romantic and offers a strong travel experience.",Chennai|Bangalore,3,7,5,10,7,8
goa,Goa,Goa,India,15.2993,74.1240,beaches | nightlife | cafes | party,party | relaxing,friends | couple | solo,summer | winter,2 | 3,12000,Tropical beach climate,95,4.8,Goa is known for beaches nightlife cafes and party culture.,Mumbai|Pune,10,9,6,8,7,8
gokarna,Gokarna,Karnataka,India,14.5479,74.3188,beaches | backpacking | cafes,relaxing | adventurous,friends | couple | solo,winter | summer,2 | 3,9000,Pleasant coastal climate,75,4.6,Gokarna is known for beaches backpacking and relaxed travel.,Mumbai|Pune|Bangalore,6,7,6,9,5,7
alibaug,Alibaug,Maharashtra,India,18.6414,72.8722,beaches | weekend | food,relaxing | fun,friends | family | couple,summer | winter,2 | 3,7000,Coastal climate,80,4.3,Alibaug is known for beaches food and quick weekend trips.,Mumbai|Pune,5,8,4,7,5,6
lonavala,Lonavala,Maharashtra,India,18.7546,73.4062,mountains | waterfalls | weekend,relaxing | adventurous,friends | family | couple,monsoon | summer,2 | 3,6000,Cool hill climate,85,4.5,Lonavala is known for mountains waterfalls and quick getaways.,Mumbai|Pune,4,7,5,8,5,8
kasol,Kasol,Himachal Pradesh,India,32.0094,77.3148,cafes | backpacking | mountains,party | relaxing,friends | solo | couple,summer | spring,3 | 4,11000,Cool mountain climate,78,4.6,Kasol is known for backpacking cafes and nightlife.,Delhi|Chandigarh,8,8,7,8,5,7
udaipur,Udaipur,Rajasthan,India,24.5854,73.7125,lakes | luxury | heritage,romantic | luxury,couple | friends | family,winter | spring,3 | 4,13000,Pleasant heritage climate,88,4.7,Udaipur is known for lakes luxury stays and heritage.,Ahmedabad|Delhi|Mumbai,6,8,4,7,9,8
rishikesh,Rishikesh,Uttarakhand,India,30.0869,78.2676,rafting | adventure | cafes,adventurous | spiritual,friends | solo | couple,summer | spring,3 | 4,10000,Riverside climate,82,4.7,Rishikesh is known for rafting cafes and adventure sports.,Delhi|Chandigarh,5,7,10,8,4,7
coorg,Coorg,Karnataka,India,12.3375,75.8069,coffee | nature | waterfalls,peaceful | relaxing,friends | couple | family,winter | monsoon,3 | 4,12000,Cool plantation climate,74,4.5,Coorg is known for coffee estates nature and waterfalls.,Bangalore|Mysore,3,7,5,10,6,8
mahabaleshwar,Mahabaleshwar,Maharashtra,India,17.9237,73.6586,strawberries | hills | weekend,relaxing | romantic,friends | family | couple,summer | winter,2 | 3,8000,Cool hill climate,77,4.4,Mahabaleshwar is known for hills viewpoints and strawberries.,Mumbai|Pune,4,7,4,9,5,7
hampi,Hampi,Karnataka,India,15.3350,76.4600,heritage | backpacking | photography,adventurous | culture,friends | solo | couple,winter | spring,3 | 4,9000,Historic dry climate,72,4.7,Hampi is known for ruins backpacking and photography.,Bangalore|Hyderabad,4,6,6,6,4,6